"RUA","lat","long"
"RUA LINO GOMES DA SILVA ","-7.2232328","-35.8896816"
"RUA OTACILIO ALBUQUERQUE","-7.2246144","-35.8853698"
"RUA JOÃO VALDIVINO ALVES","-7.2223667","-35.8734667"
"RUA DOUTOR VASCONCELOS ","-7.1983681","-35.8783507"
"AV CANAL","-7.2283635","-35.8791107"
"RUA SEVERINO RIBEIRO CRUZ","-7.2230627","-35.9200239"
"RUA ESPIRITO SANTO ","-7.2306975","-35.8928170"
"RUA JOSE AUGUSTO TRINDADE ","-7.2140283","-35.8999221"
"RUA ARRUDA CAMARA","-7.2161225","-35.8725912"
"RUA SÃO LUIZ","-7.2407499","-35.8622886"
"RUA LUIZ FLORENTINO DE SOUSA","-7.2256808","-35.9326940"
"AV DAS NACOES","-7.1884014","-35.8813203"
"AV DAS NACOES","-7.1884014","-35.8813203"
"RUA DOM PEDRO I","-7.2266612","-35.8927892"
"RUA FERNANDES VIEIRA","-7.2342495","-35.8586875"
"RUA DOM BOSCO","-7.2265907","-35.8696207"
"RUA INDIOS CARIRIS","-7.2190937","-35.8891918"
"RUA JOSE ANCHIETA DE QUEIROZ","-7.2035447","-35.9023844"
"RUA MANOEL ALVES OLIVEIRA","-7.2509440","-35.8860939"
"AV CANAL","-7.2283635","-35.8791107"
"RUA JOSE GONCALVES LUCENA ","-7.2439938","-35.9012720"
"RUA ASSIS CHATEAUBRIAND","-7.3389658","-35.8989185"
"RUA SANTA TEREZINHA ","-7.2091422","-35.9363779"
"RUA FRANCISCO MELQUIADES ","-7.2161719","-35.9226963"
"RUA MANOEL ELIAS ","-7.2108227","-35.8845801"
"RUA TREZE DE MAIO","-7.2216448","-35.8868601"
"RUA NATALICIA R. VIEIRA ","-7.2223667","-35.8734667"
"RUA VIGARIO CALIXTO","-7.2563153","-35.8787877"
"RUA ORESTES FIALHO DE ARAUJO","-7.2139712","-35.8697107"
"RUA SEBASTIÃO DONATO","-7.2242365","-35.8868904"
"RUA SANTA CECILIA","-7.2153612","-35.8729548"
"RUA GUILHERMINO BARBOSA","-7.2369782","-35.8854811"
"RUA DAMASCO","-7.2352333","-35.9049448"
"RUA JOAO SIQUEIRA LUNA ","-7.2499646","-35.8959525"
"RUA JOAO MAURICIO MEDEIROS ","-7.2134209","-35.8982596"
"RUA MIGUEL COUTO","-7.2235857","-35.8839771"
"RUA VINTE E QUATRO DE MAIO","-7.2383857","-35.8860420"
"RUA RIO BRANCO","-7.2324008","-35.8912715"
"RUA JUSCELINO KUBITSCHEK","-7.2570800","-35.9097373"
"RUA DJALMA MIGUEL DE MORAIS","-7.2332603","-35.8632298"
"AV ASSIS CHATEAUBRIAND ","-7.2410812","-35.8880520"
"RUA VENANCIO NEIVA","-7.2181600","-35.8845104"
"AV ASSIS CHATEAUBRIAND ","-7.2410812","-35.8880520"
"RUA JOSE SANTINO","-7.2756990","-35.9108130"
"RUA MINAS GERAIS ","-7.2294948","-35.8907541"
"RUA SILVA JARDIM ","-7.2274679","-35.8701935"
"AV FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"RUA JOÃO AMARO","-7.2115693","-35.8549486"
"RUA ANTONIO DE SOUSA LOPES ","-7.2333530","-35.8723260"
"RUA JOÃO PESSOA","-7.2458570","-35.8778745"
"AV FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"RUA VILA NOVA DA RAINHA","-7.2210903","-35.8787309"
"RUA JUVINO DO O","-7.2309417","-35.8680489"
"RUA DA REPUBLICA","-7.2302734","-35.9005177"
"RUA TAVARES CAVALCANTE","-7.2170725","-35.8797332"
"RUA ANTONIO FIGUEIREDO AGRA ","-7.2525188","-35.9004089"
"RUA DAS PITOMBEIRAS","-7.2391003","-35.9269590"
"RUA LEVI MENEZES ","-7.2441903","-35.8749261"
"RUA SEMEAO LEAL ","-7.2183242","-35.8833199"
"AV DINAMERICA","-7.2339942","-35.9105869"
"ALCA SUDOESTE","-7.2223667","-35.8734667"
"RUA CAMPOS SALES","-7.2257831","-35.8724315"
"RUA CAMPOS SALES","-7.2257831","-35.8724315"
"RUA JOSÉ BULCÃO DA SILVA","-7.2223667","-35.8734667"
"RUA OSVALDO CRUZ TODA ","-7.2223667","-35.8734667"
"RUA NEREU GUSMÃO BASTOS","-7.2483051","-35.9289759"
"RUA FREIRA FRANCISCA GUSMAO ","-7.2281990","-35.9189281"
"RUA ELPIDIO DE ALMEIDA","-7.2275983","-35.8770020"
"RUA SANTA LUZIA","-7.2229412","-35.9068041"
"RUA FREI MARTINHO","-7.2104940","-35.8854415"
"RUA PROF. MAURO LUNA","-7.2131395","-35.8862197"
"RUA SANTO ANTONIO ","-7.2175764","-35.8716472"
"RUA ELPIDIO DE ALMEIDA","-7.2275983","-35.8770020"
"RUA JOSE AGOSTINHO DO NASCIMENTO","-7.2369919","-35.9194103"
"AV FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"RUA VER. ANTONIO JOSÉ RODRIGUES","-7.2325367","-35.8655273"
"AV DINAMERICA","-7.2339942","-35.9105869"
"AV JOAO PESSOA","-7.2173955","-35.8858229"
"RUA FRANCISCO LOPES DE ALMEIDA","-7.2509654","-35.9273498"
"AV FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"RUA JOSÉ BERNARDINO","-7.2386942","-35.8669442"
"RUA JUSCELINO KUBISCHECK","-7.2570800","-35.9097373"
"RUA JAMILA ABRAÃO JORGE ","-7.2433129","-35.9233968"
"RUA JOSE LINS DO REGO ","-7.2133336","-35.8893338"
"RUA ENGENHEIRO SATURNINO DE BRITO FILHO","-7.2223667","-35.8734667"
"RUA SEMEAO LEAL ","-7.2183242","-35.8833199"
"RUA TREZE DE MAIO","-7.2216448","-35.8868601"
"RUA CASTRO PINTO ","-7.2274704","-35.8966416"
"RUA ALMIRANTE BARROSO","-7.2354700","-35.8962185"
"RUA CAMPOS SALES","-7.2257831","-35.8724315"
"AV FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"RUA DOUTOR SEVERINO RIBEIRO CRUZ ","-7.2230627","-35.9200239"
"RUA ALMEIDA BARRETO","-7.2294646","-35.9110185"
"RUA ANA ALMEIDA DE CASTRO ","-7.2352459","-35.9022550"
"RUA INDIOS CARIRIS","-7.2190937","-35.8891918"
"RUA MANOEL LOPES DE FIGUEIREDO ","-7.2754488","-35.9211554"
"RUA GONÇALVES DIAS","-7.2186207","-35.8481398"
"AV CANAL","-7.2283635","-35.8791107"
"RUA DJALMA MIGUEL DE MORAIS ","-7.2332603","-35.8632298"
"RUA CARLOS FORMIGA","-7.2424087","-35.9276399"
"RUA CAMPOS SALES","-7.2257831","-35.8724315"
"RUA VILA NOVA DA RAINHA","-7.2210903","-35.8787309"
"RUA JOAO LELIS","-7.2326387","-35.8762613"
"RUA JUAZEIRO","-7.2223667","-35.8734667"
"RUA FRANCISCO LOPES DE ALMEIDA","-7.2509654","-35.9273498"
"RUA JAMILA ABRAAO JORGE","-7.2433129","-35.9233968"
"RUA ODON SEVERIANO DE SOUZA","-7.2223667","-35.8734667"
"RUA DESEMBARGADOR TRINDADE ","-7.2237799","-35.8840185"
"RUA JAMILA ABRAAO JORGE","-7.2433129","-35.9233968"
"RUA DUQUE DE CAXIAS","-7.2225536","-35.8977286"
"RUA PEDRO BRASIL ","-7.2421834","-35.8979250"
"RUA JUSCELINO KUBITSCHEK","-7.2570800","-35.9097373"
"AV CANAL","-7.2283635","-35.8791107"
"AV DOM PEDRO II","-7.2187447","-35.8960187"
"RUA ORESTES DUARTE DE ARAÚJO","-7.2223667","-35.8734667"
"RUA JOSE ALVES","-7.2579169","-35.8973755"
"RUA TREZE DE MAIO","-7.2216448","-35.8868601"
"RUA IRINEU JOFILLY","-7.2228389","-35.8842263"
"RUA CHA DO MARINHO","-7.2223667","-35.8734667"
"RUA AFONSO CAMPOS ","-7.2193398","-35.8816382"
"RUA RIO BRANCO","-7.2324008","-35.8912715"
"RUA ESTACIO DE SÁ","-7.2234655","-35.8726491"
"RUA JOAO FRANCISCO DE ANDRADE ","-7.2223667","-35.8734667"
"AV BRASILIA","-7.2699120","-35.8971647"
"RUA MANOEL ALVES DE OLIVIERA","-7.2509440","-35.8860939"
"RUA ANTONIO SOARES DA SILVA","-7.2051179","-35.9005047"
"RUA QUINZE DE NOVEMBRO","-7.1986848","-35.8959945"
"RUA JOAO QUIRINO ","-7.2354335","-35.8827645"
"RUA PACÍFICO LECARIÃO DE TRINDADE","-7.2198289","-35.9215300"
"AV ASSIS CHATEAUBRIAND","-7.2410812","-35.8880520"
"AV ELPIDIO DE ALMEIDA","-7.2275983","-35.8770020"
"RUA JOANA DARC","-7.2227657","-35.8720450"
"RUA PRINCIPAL","-7.2223667","-35.8734667"
"AV CANAL","-7.2283635","-35.8791107"
"RUA TREZE DE MAIO","-7.2216448","-35.8868601"
"RUA MARCILIO DIAS","-7.2183977","-35.8773161"
"RUA PROFESSORA MARIA AUGUSTO MENDONÇA","-7.2315441","-35.9224193"
"RODOVIA BR 104","-7.2433790","-35.8841384"
"RUA SALVINO OLIVEIRA NETO ","-7.2137099","-35.8724961"
"AV ASSIS CHATEAUBRIAND","-7.2410812","-35.8880520"
"RUA ANTENOR NAVARRO","-7.2202454","-35.8941189"
"RUA TOME DE SOUZA ","-7.2216092","-35.8699701"
"AV FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"RUA ODON SEVERIANO DE SOUZA","-7.2223667","-35.8734667"
"RUA SANTO ANTONIO ","-7.2175764","-35.8716472"
"RUA SANTO ANTONIO ","-7.2175764","-35.8716472"
"AV CANAL","-7.2283635","-35.8791107"
"RUA JOAO DA SILVA PIMENTEL ","-7.2148680","-35.8888711"
"RUA RICARDO VAGNER DA SILVA PAZ","-7.2223667","-35.8734667"
"RUA SILVA JARDIM II","-7.2165873","-35.8735746"
"RODOVIA BR 230","-7.2375122","-35.8679401"
"RODOVIA BR 230","-7.2375122","-35.8679401"
"RUA CAMPOS SALES","-7.2257831","-35.8724315"
"RUA JOAO XXIII","-7.2214361","-35.8826663"
"RUA SANTO ANTONIO ","-7.2175764","-35.8716472"
"RUA MANOEL GUIMARAES MORAIS ","-7.2217437","-35.9179453"
